'y-axis saved as y
'x,NN_StartingMaterials_Ba(NO3)2.raw
30.3138596,13
30.3324454,9
30.3510312,9
30.369617,11
30.3882028,12
30.4067886,18
30.4253744,10
30.4439602,12
30.462546,11
30.4811318,12
30.4997176,14
30.5183034,17
30.5368892,12
30.555475,12
30.5740608,10
30.5926466,14
30.6112324,10
30.6298182,15
30.648404,17
30.6669898,10
30.6855756,14
30.7041614,20
30.7227472,22
30.741333,14
30.7599188,12
30.7785046,11
30.7970904,17
30.8156762,13
30.834262,15
30.8528478,15
30.8714336,17
30.8900194,12
30.9086052,17
30.927191,13
30.9457768,13
30.9643626,15
30.9829484,16
31.0015342,17
31.02012,10
31.0387058,19
31.0572916,16
31.0758774,11
31.0944632,19
31.113049,14
31.1316348,22
31.1502206,27
31.1688064,33
31.1873922,41
31.205978,86
31.2245638,76
31.2431496,131
31.2617354,111
31.2803212,99
31.298907,64
31.3174928,65
31.3360786,93
31.3546644,44
31.3732502,34
31.391836,28
31.4104218,17
31.4290076,21
31.4475934,16
31.4661792,16
31.484765,17
31.5033508,17
31.5219366,13
31.5405224,14
31.5591082,16
31.577694,12
31.5962798,7
31.6148656,12
31.6334514,14
31.6520372,12
31.670623,12
31.6892088,17
31.7077946,11
31.7263804,18
31.7449662,15
31.763552,6
31.7821378,14
31.8007236,18
31.8193094,7
31.8378952,13
31.856481,15
31.8750668,13
31.8936526,15
31.9122384,15
31.9308242,11
31.94941,9
31.9679958,8
31.9865816,14
32.0051674,17
32.0237532,15
32.042339,14
32.0609248,9
32.0795106,9
32.0980964,21
32.1166822,10
32.135268,14
32.1538538,10
32.1724396,4
32.1910254,13
32.2096112,10
32.228197,10
32.2467828,17
32.2653686,16
32.2839544,15
32.3025402,14
32.321126,17
32.3397118,19
32.3582976,12
32.3768834,8
32.3954692,16
32.414055,18
32.4326408,7
32.4512266,19
32.4698124,13
32.4883982,5
32.506984,13
32.5255698,14
32.5441556,6
32.5627414,19
32.5813272,8
32.599913,11
32.6184988,10
32.6370846,11
32.6556704,10
32.6742562,18
32.692842,15
32.7114278,9
32.7300136,13
32.7485994,12
32.7671852,6
32.785771,14
32.8043568,11
32.8229426,11
32.8415284,10
32.8601142,10
32.8787,18
32.8972858,16
32.9158716,14
32.9344574,13
32.9530432,9
32.971629,18
32.9902148,12
33.0088006,5
33.0273864,9
33.0459722,9
33.064558,14
33.0831438,12
33.1017296,14
33.1203154,19
33.1389012,9
33.157487,21
33.1760728,14
33.1946586,10
33.2132444,14
33.2318302,15
33.250416,10
33.2690018,9
33.2875876,13
33.3061734,14
33.3247592,10
33.343345,12
33.3619308,13
33.3805166,15
33.3991024,14
33.4176882,13
33.436274,17
33.4548598,19
33.4734456,10
33.4920314,10
33.5106172,11
33.529203,13
33.5477888,12
33.5663746,12
33.5849604,14
33.6035462,13
33.622132,8
33.6407178,12
33.6593036,13
33.6778894,15
33.6964752,12
33.715061,12
33.7336468,18
33.7522326,11
33.7708184,14
33.7894042,8
33.80799,10
33.8265758,10
33.8451616,4
33.8637474,14
33.8823332,14
33.900919,13
33.9195048,7
33.9380906,8
33.9566764,13
33.9752622,10
33.993848,7
34.0124338,12
34.0310196,11
34.0496054,13
34.0681912,9
34.086777,14
34.1053628,6
34.1239486,9
34.1425344,10
34.1611202,8
34.179706,9
34.1982918,14
34.2168776,16
34.2354634,17
34.2540492,17
34.272635,8
34.2912208,8
34.3098066,15
34.3283924,18
34.3469782,21
34.365564,12
34.3841498,4
34.4027356,13
34.4213214,13
34.4399072,11
34.458493,6
34.4770788,26
34.4956646,13
34.5142504,19
34.5328362,13
34.551422,10
34.5700078,16
34.5885936,14
34.6071794,11
34.6257652,12
34.644351,15
34.6629368,8
34.6815226,10
34.7001084,8
34.7186942,21
34.73728,10
34.7558658,12
34.7744516,13
34.7930374,7
34.8116232,13
34.830209,17
34.8487948,14
34.8673806,10
34.8859664,11
34.9045522,14
34.923138,21
34.9417238,9
34.9603096,14
34.9788954,8
34.9974812,10
35.016067,11
35.0346528,16
35.0532386,14
35.0718244,11
35.0904102,15
35.108996,10
35.1275818,13
35.1461676,11
35.1647534,12
35.1833392,15
35.201925,9
35.2205108,9
