wavelength,"(174, 3052)","(180, 3085)","(143, 3166)","(158, 3222)","(170, 3189)","(161, 3058)","(173, 3138)","(146, 3174)","(159, 3142)","(149, 3109)","(149, 3085)"
690.658,0.868469,0.809408,0.857473,0.624375,0.57009,0.685555,0.75597,0.873202,0.81017,0.81566,0.748939
692.284,0.882807,0.791914,0.872295,0.634256,0.567392,0.711751,0.763403,0.886019,0.818717,0.825257,0.752341
693.911,0.86339,0.796423,0.871542,0.632156,0.579938,0.709974,0.756558,0.871927,0.81614,0.809212,0.770719
695.538,0.877209,0.808797,0.872716,0.642718,0.578061,0.708978,0.757857,0.888569,0.825065,0.816599,0.753167
697.165,0.863042,0.804923,0.875576,0.627603,0.580537,0.714626,0.7611,0.888493,0.818895,0.81394,0.754854
698.791,0.874855,0.810278,0.88337,0.642954,0.584904,0.71762,0.75133,0.90581,0.816874,0.830192,0.757742
700.418,0.877971,0.809071,0.88436,0.637194,0.584835,0.7182,0.781908,0.89765,0.812806,0.827734,0.75
702.045,0.880987,0.815183,0.889126,0.641846,0.571027,0.716048,0.764215,0.898478,0.818874,0.832196,0.760179
703.672,0.868499,0.818067,0.890708,0.645776,0.586847,0.718864,0.757704,0.900366,0.825618,0.82756,0.7564
705.298,0.875775,0.813396,0.886262,0.643447,0.58185,0.740249,0.772037,0.912761,0.815862,0.843221,0.763058
706.925,0.877573,0.817206,0.885722,0.644015,0.581143,0.730943,0.775946,0.903458,0.828993,0.854462,0.776767
708.552,0.883512,0.817983,0.905689,0.6437,0.576787,0.736819,0.760221,0.897959,0.824707,0.837114,0.775074
710.178,0.877548,0.829476,0.909697,0.659104,0.586366,0.733312,0.773413,0.922587,0.833211,0.841479,0.768317
711.805,0.881994,0.817939,0.90459,0.652191,0.580863,0.730349,0.766434,0.891012,0.847755,0.84358,0.766577
713.432,0.878718,0.825167,0.902394,0.646657,0.593022,0.72933,0.780513,0.910057,0.833435,0.840395,0.773709
715.059,0.88971,0.833069,0.889581,0.645816,0.592812,0.738036,0.779327,0.919642,0.83677,0.85164,0.775866
716.685,0.867412,0.835489,0.89973,0.648244,0.599989,0.730733,0.778776,0.909618,0.842212,0.860598,0.785288
718.312,0.900476,0.839171,0.894061,0.670188,0.596974,0.739552,0.77547,0.912082,0.833098,0.862282,0.78762
719.939,0.881978,0.835326,0.885774,0.645214,0.597847,0.746778,0.774582,0.921241,0.845418,0.84198,0.795896
721.566,0.885939,0.833764,0.915153,0.664684,0.604612,0.739981,0.785517,0.92611,0.851846,0.853921,0.789128
