'y-axis saved as y
'x,PDC_LDFZ_20201113_1_217_2_(PBF1_20201110)-4hr-PbTiO3-second-cut-of-grown-crystal.raw,Ycalc,Diff
17.4744256,5204,0,0
17.4915608,5098,0,0
17.508696,5150,0,0
17.5258312,5130,0,0
17.5429664,5020,0,0
17.5601016,5153,0,0
17.5772368,5114,0,0
17.594372,5110,0,0
17.6115072,4983,0,0
17.6286424,5195,0,0
17.6457776,5157,0,0
17.6629128,5072,0,0
17.680048,5113,0,0
17.6971832,5147,0,0
17.7143184,5080,0,0
17.7314536,5094,5019.68196,74.3180428
17.7485888,5197,5019.41776,177.582241
17.765724,5141,5019.13448,121.865519
17.7828592,5095,5018.83219,76.1678117
17.7999944,5084,5018.51095,65.489051
17.8171296,5144,5018.17083,125.82917
17.8342648,5110,5017.8119,92.1881022
17.8514,5208,5017.43422,190.565781
17.8685352,5107,5017.03786,89.9621391
17.8856704,5019,5016.62289,2.37711075
17.9028056,5069,5016.18937,52.8106293
17.9199408,5144,5015.73737,128.262629
17.937076,5100,5015.26696,84.7330423
17.9542112,5103,5014.7782,88.2218044
17.9713464,4990,5014.27115,-24.2711511
17.9884816,5167,5013.74589,153.25411
18.0056168,5134,5013.20248,120.797522
18.022752,5097,5012.64098,84.359019
18.0398872,5081,5012.06146,68.9385356
18.0570224,5076,5011.46399,64.5360065
18.0741576,4977,5010.84863,-33.8486339
18.0912928,5067,5010.21545,56.7845493
18.108428,5049,5009.56451,39.435491
18.1255632,4987,5008.89587,-21.8958739
18.1426984,4969,5008.20961,-39.2096103
18.1598336,5029,5007.50578,21.494217
18.1769688,5083,5006.78446,76.2155433
18.194104,4882,5006.0457,-124.045696
18.2112392,5160,5005.28957,154.710435
18.2283744,5079,5004.51613,74.4838709
18.2455096,5138,5003.72545,134.274548
18.2626448,4994,5002.9176,-8.91759711
18.27978,4926,5002.09263,-76.0926295
18.2969152,5018,5001.25061,16.7493871
18.3140504,5023,5000.39161,22.608389
18.3311856,5137,4999.51569,137.484312
18.3483208,4970,4998.62291,-28.6229063
18.365456,4984,4997.71333,-13.7133307
18.3825912,4975,4996.78702,-21.7870242
18.3997264,5003,4995.84405,7.15595006
18.4168616,4965,4994.88447,-29.8844713
18.4339968,5082,4993.90835,88.0916488
18.451132,5076,4992.91575,83.0842472
18.4682672,5035,4991.90674,43.0932612
18.4854024,5152,4990.88137,161.118628
18.5025376,4976,4989.83972,-13.8397152
18.5196728,4966,4988.78183,-22.7818307
18.536808,4869,4987.70778,-118.707781
18.5539432,4968,4986.61763,-18.6176285
18.5710784,5125,4985.51144,139.488565
18.5882136,4956,4984.38926,-28.3892636
18.6053488,5021,4983.25118,37.7488248
18.622484,4999,4982.09723,16.9027678
18.6396192,4907,4980.9275,-73.9274962
18.6567544,4978,4979.74203,-1.74202892
18.6738896,4992,4978.54089,13.4591081
18.6910248,4972,4977.32415,-5.32414649
18.70816,4930,4976.09185,-46.0918541
18.7252952,5153,4974.84408,178.155924
18.7424304,4957,4973.58087,-16.580873
18.7595656,4862,4972.30231,-110.302306
18.7767008,4980,4971.00844,8.99156323
18.793836,4866,4969.69933,-103.699325
18.8109712,4917,4968.37503,-51.375032
18.8281064,4957,4967.03562,-10.035618
18.8452416,5012,4965.68114,46.3188565
18.8623768,5004,4964.31167,39.6883312
18.879512,4963,4962.92725,0.0727459372
18.8966472,4921,4961.52796,-40.5279594
18.9137824,5033,4960.11384,72.8861551
18.9309176,5004,4958.68497,45.3150298
18.9480528,4926,4957.2414,-31.2413952
18.965188,4867,4955.78318,-88.7831795
18.9823232,5012,4954.31038,57.6896173
18.9994584,4867,4952.82306,-85.823064
19.0165936,4887,4951.32128,-64.3212829
19.0337288,4934,4949.8051,-15.8050985
19.050864,4933,4948.27457,-15.2745698
19.0679992,4993,4946.72976,46.2702441
19.0851344,4891,4945.17072,-54.1707156
19.1022696,4771,4943.59751,-172.597508
19.1194048,4843,4942.01019,-99.0101905
19.13654,4914,4940.40882,-26.4088228
19.1536752,4968,4938.79346,29.2065371
19.1708104,4869,4937.16417,-68.1641691
19.1879456,4853,4935.521,-82.5209995
19.2050808,4737,4933.86401,-196.864012
19.222216,4964,4932.19327,31.8067349
19.2393512,4949,4930.50882,18.4911839
19.2564864,4881,4928.81072,-47.8107229
19.2736216,4751,4927.09904,-176.099043
19.2907568,4838,4925.37383,-87.3738338
19.307892,4832,4923.63515,-91.6351529
19.3250272,4857,4921.88306,-64.8830574
19.3421624,4882,4920.1176,-38.1176044
19.3592976,4954,4918.33885,35.661149
19.3764328,4831,4916.54685,-85.5468542
19.393568,4908,4914.74167,-6.74167058
19.4107032,4777,4912.92336,-135.923357
19.4278384,4877,4911.09197,-34.0919698
19.4449736,4993,4909.24757,83.7524343
19.4621088,4900,4907.3902,-7.3902009
19.479244,4921,4905.51993,15.4800684
19.4963792,4824,4903.63681,-79.636814
19.5135144,4808,4901.7409,-93.7409039
19.5306496,4889,4899.83226,-10.8322574
19.5477848,4798,4897.91093,-99.9109302
19.56492,4835,4895.97698,-60.9769778
19.5820552,4751,4894.03046,-143.030456
19.5991904,4794,4892.07142,-98.0714199
19.6163256,4819,4890.09993,-71.0999251
19.6334608,4949,4888.11603,60.8839734
19.650596,4931,4886.11978,44.8802205
19.6677312,4759,4884.11124,-125.111239
19.6848664,5009,4882.09046,126.909541
19.7020016,4845,4880.0575,-35.057496
19.7191368,4892,4878.0124,13.9875968
19.736272,4883,4875.95524,7.04476458
19.7534072,4873,4873.88605,-0.88604715
19.7705424,4835,4871.80489,-36.8048926
19.7876776,4821,4869.71183,-48.711826
19.8048128,4888,4867.6069,20.3930986
19.821948,4755,4865.49017,-110.490173
19.8390832,4760,4863.36169,-103.361694
19.8562184,4749,4861.22152,-112.221518
19.8733536,4833,4859.0697,-26.0696992
19.8904888,4781,4856.90629,-75.9062909
19.907624,4713,4854.73135,-141.731346
19.9247592,4814,4852.54492,-38.5449191
19.9418944,4846,4850.34706,-4.34706185
19.9590296,4889,4848.13783,40.8621722
19.9761648,4682,4845.91727,-163.91727
19.9933,4731,4843.68544,-112.685441
20.0104352,4663,4841.44239,-178.442393
20.0275704,4821,4839.18818,-18.1881797
20.0447056,4568,4836.92285,-268.922853
20.0618408,4750,4834.64646,-84.6464646
20.078976,4628,4832.35907,-204.359068
20.0961112,4772,4830.06071,-58.0607137
20.1132464,4774,4827.75145,-53.7514549
20.1303816,4656,4825.43134,-169.431343
20.1475168,4810,4823.10043,-13.1004301
20.164652,4816,4820.75877,-4.75876752
20.1817872,4754,4818.40641,-64.4064068
20.1989224,4833,4816.0434,16.9566006
20.2160576,4765,4813.6698,-48.6697966
20.2331928,4700,4811.28565,-111.28565
20.250328,4601,4808.89101,-207.89101
20.2674632,4689,4806.48593,-117.485927
20.2845984,4699,4804.07045,-105.070454
20.3017336,4912,4801.64464,110.355361
20.3188688,4718,4799.20854,-81.2085351
20.336004,4768,4796.76219,-28.7621913
20.3531392,4749,4794.30566,-45.3056584
20.3702744,4688,4791.8392,-103.839198
20.3874096,4658,4789.46768,-131.467682
20.4045448,4747,4787.61553,-40.6155315
20.42168,4638,4786.77644,-148.776443
20.4388152,4637,4789.05716,-152.057158
20.4559504,4731,4789.16073,-58.160727
20.4730856,4717,4787.12334,-70.1233397
20.4902208,4625,4784.98862,-159.988622
20.507356,4486,4782.86812,-296.868119
20.5244912,4735,4780.76383,-45.763826
20.5416264,4608,4778.67794,-170.677936
20.5587616,4734,4776.61287,-42.6128712
20.5758968,4586,4774.57131,-188.571309
20.593032,4702,4772.55622,-70.5562157
20.6101672,4768,4770.57089,-2.57088933
20.6273024,4808,4768.619,39.3809988
20.6444376,4779,4766.70465,12.2953486
20.6615728,4757,4764.83243,-7.83243003
20.678708,4615,4763.01896,-148.018965
20.6958432,4704,4761.50892,-57.5089151
20.7129784,4739,4760.76546,-21.7654641
20.7301136,4803,4761.54323,41.4567693
20.7472488,4748,4765.0884,-17.0883978
20.764384,4800,4765.11462,34.8853803
20.7815192,4652,4764.27618,-112.276179
20.7986544,4837,4763.59105,73.4089485
20.8157896,4681,4763.07964,-82.0796447
20.8329248,4721,4762.76474,-41.764744
20.85006,4694,4762.67279,-68.672794
20.8671952,4780,4762.83463,17.1653701
20.8843304,4651,4763.28639,-112.286386
20.9014656,4874,4764.07063,109.929371
20.9186008,4823,4765.23779,57.7622085
20.935736,4790,4766.84799,23.1520135
